uid,name,longitude,latitude,free_bikes,empty_slots
7024,Dundonald St / Church St,-79.38148,43.66663,10,25
7503,Gerrard St E / Malvern Ave - SMART,-79.294766,43.685221,13,7
7203,Bathurst St/Queens Quay(Billy Bishop Airport),-79.398253,43.635492,34,1
7043,Queens Quay W / Lower Simcoe St,-79.383717,43.63951,9,8
7018,Bremner Blvd / Rees St,-79.386741,43.641529,6,17
7412,King St W / Crawford St,-79.4131148,43.6417852,5,17
7391,Yonge St / Dundas Sq,-79.3802,43.655766,18,7
7459,St Clair Ave W / Winona Ave,-79.432522,43.680466,6,5
7030,Bay St / Wellesley St W,-79.387095,43.664088,24,27
7501,Humberside Grounds - SMART,-79.46997,43.65917,9,11
7264,Bloor St E / Huntley St - SMART,-79.379173,43.671535,1,14
7469,Wellington St W / York St,-79.38301,43.646734,7,15
7061,Dalton Rd / Bloor St W,-79.4066433,43.6662942,8,7
7138,Davenport Rd / Christie St,-79.423889,43.675278,10,17
7417,King St W / Jordan St,-79.378623,43.648928,5,6
7373,George St / King St E,-79.3707,43.6509552,12,3
7455,E.T. Seton Park (Eglinton Ave E / Leslie St),-79.351246,43.715951,23,4
7428,Woodbine Ave / Lake Shore Blvd E,-79.304711,43.665645,12,15
7324,King St W / Charlotte St,-79.39399,43.645572,17,2
7475,Jarvis St / Richmond St E,-79.372637,43.652777,2,17
7476,Symington Ave / Dupont St,-79.451263,43.665538,7,8
7009,King St E / Jarvis St,-79.372287,43.650325,9,16
7029,Bay St / Bloor St W (East Side),-79.38915,43.66943,7,7
7335,Bay St / Bloor St W (West Side),-79.3894,43.669244,1,18
7442,Lonsdale Rd / Spadina Rd,-79.412903,43.688526,6,9
7363,Wells Hill Ave / St Clair Ave W,-79.41562,43.683351,3,12
7443,Dundas St E / George St,-79.373446,43.6574766,3,22
7072,Fleet St / Bathurst St,-79.400042,43.636611,13,5
7245,Tecumseth St / Queen St W - SMART,-79.406468,43.646552,4,3
7052,Wellington St W / Bay St,-79.379878,43.647259,17,9
7484,Briar Hill Ave / Yonge St - SMART,-79.400162,43.713524,7,9
7074,King St E / Church St,-79.3733541,43.65003919999999,14,1
7021,Bay St / Albert St,-79.382458,43.653264,26,9
7008,Wellesley St / Queen's Park Cres,-79.392125,43.663376,7,11
7006,Bay St / College St (East Side),-79.385525,43.660439,8,9
7062,University Ave / College St (West),-79.390213,43.659226,5,6
7502,University Ave / College St (East),-79.38964,43.65995,1,12
7274,Queen's Park Cres E / Grosvenor St - SMART,-79.389682,43.661803,4,7
7235,Bay St / College St (West Side) - SMART,-79.385655,43.660087,3,9
7516,Superior Ave / Lake Shore Blvd W,-79.4873148,43.6146692,8,9
7514,Humber Bay Shores Park / Marine Parade Dr,-79.476723,43.626265,27,4
7518,Lake Shore Blvd W / Colborne Lodge Dr,-79.458173,43.63771,15,11
7517,Ripley Ave / Ormskirk Ave,-79.4760109,43.6390437,14,9
7520,St Clarens Ave / Shirley Ave,-79.4376413,43.6486599,1,13
7524,Lisgar Park,-79.4240277,43.6423847,6,16
7526,Bartlett Parkette,-79.4360232,43.6702236,20,3
7528,Spadina Rd / Austin Terrace,-79.408723,43.67883,4,13
7530,Sherbourne St N / Elm Ave,-79.3778458,43.6752732,8,14
7534,Walnut Ave / Queen St W,-79.411084,43.645469,7,9
7538,Vaughan Rd /Wychwood Ave,-79.4253856,43.6882821,11,8
7536,Palmerston Ave / Dundas St W,-79.408346,43.651603,7,15
7531,541 Huron St - SMART,-79.402643,43.670206,6,13
7537,Euclid Ave / Herrick St - SMART,-79.413845,43.661559,7,8
7545,Baldwin St / Henry St,-79.393259,43.6560758,2,13
7547,Orde St / McCaul St,-79.3927404,43.6580442,6,9
7546,Ross St / Cecil St - SMART,-79.3966159,43.6568254,15,3
7552,Lake Shore Blvd W / Thirty Ninth Street,-79.54033009999999,43.5927419,8,11
7553,Lake Shore Blvd W / Twenty Fourth St,-79.522768,43.597082,7,12
7556,Windsor St / Newcastle St,-79.4971065,43.6171635,4,27
7555,Royal York Rd / Mimico Ave,-79.496573,43.612063,6,14
7558,Berry Rd / Bell Manor Dr,-79.489083,43.63732,6,13
7554,Humber College,-79.5160575,43.5961692,17,10
7515,Amos Waites Park,-79.4883535,43.613606,10,17
7562,Priscilla  Ave / Dundas St W,-79.489385,43.664665,4,19
7564,Durie St / Dundas St W,-79.484892,43.665523,16,7
